nome,preco,stock,fornecedor_id
Calca Jeans Slim,49.9,80,2
Camisa Basica,19.9,120,8
Meias Algodao,9.0,200,9
Casaco de Lã,129.9,1,10
Sapatilhas,59.9,5,3
Jaqueta Sport,79.0,30,12
Camisa Polo,35.0,90,6
T-shirt Estampada,19.0,100,8
Saia Curta,39.0,45,7
Chapeu de Sol,22.9,25,9
Sapatos Sociais,99.9,40,12
Casaco Impermeavel,120.0,15,12
Cinto de Couro,15.0,50,10
Bolsa Feminina,65.0,30,4
Vestido Casual,70.0,40,8
Mochila Escolar,49.0,60,12
Relógio Desportivo,89.0,10,2
Boné Ajustável,19.9,70,5
Calças Cargo,45.5,25,6
Saia Longa,38.0,15,7
Tênis de Corrida,129.99,20,8
Camisa,15.0,100,1
Jaqueta de Couro,150.0,5,12
Chapéu Fedora,30.0,10,10
Meias desportivas,8.0,150,9
Calças Jeans,60.0,40,2
Bolsa Carteira,55.5,35,4
